t x_soleil y_soleil x_terre y_terre x_jupiter y_jupiter x_halley y_halley
0 0 0 0 1 0 5.36 34.75 0
0.075 -3.83136378403e-10 1.02075314415e-07 -0.0749325155104 0.997188906996 -0.0318748137078 5.35990210426 34.7499976688 0.00222000028359
0.15 -3.15944099926e-09 4.08250114945e-07 -0.149443722855 0.988771436753 -0.0637484630956 5.35960842026 34.7499906751 0.00444000093064
0.225 -1.07148477566e-08 9.18371244174e-07 -0.223114684213 0.974794926548 -0.095619783873 5.35911895769 34.749979019 0.00666000164152
0.3 -2.54208625542e-08 1.63218434061e-06 -0.295531189056 0.955337975563 -0.127487611809 5.35843373269 34.7499627004 0.00888000211664
0.375 -4.96274508397e-08 2.54933518462e-06 -0.366286084392 0.930510002242 -0.159350782764 5.35755276785 34.7499417194 0.0111000020564
0.45 -8.56560463083e-08 3.66937157194e-06 -0.434981565143 0.900450628118 -0.191208132715 5.35647609223 34.749916076 0.0133200011613
0.525 -1.35792720064e-07 4.99174570424e-06 -0.501231411726 0.865328891622 -0.22305849779 5.35520374133 34.7498857702 0.0155399991316
0.6 -2.02281548591e-07 6.51581708292e-06 -0.564663162236 0.825342296332 -0.254900714296 5.3537357571 34.7498508019 0.0177599956679
0.675 -2.87318217739e-07 8.24085588997e-06 -0.624920206968 0.780715699081 -0.286733618749 5.35207218797 34.7498111712 0.0199799904706
0.75 -3.93043898554e-07 1.01660468365e-05 -0.681663793516 0.731700044218 -0.318556047906 5.35021308879 34.749766878 0.0221999832401
0.825 -5.21539429226e-07 1.22904934572e-05 -0.734574931162 0.678570951208 -0.35036683879 5.34815852088 34.7497179224 0.024419973677
0.9 -6.74819835678e-07 1.46132228263e-05 -0.783356183861 0.621627163557 -0.382164828727 5.34590855202 34.7496643044 0.0266399614816
0.975 -8.54829221352e-07 1.7133190669e-05 -0.827733341766 0.561188867843 -0.413948855369 5.34346325641 34.7496060239 0.0288599463546
